time	from	to
4265	72	76
4265	72	76
4265	64	80
4266	72	104
4266	72	76
4266	72	8
4267	72	88
4267	64	80
4267	64	0
4268	64	68
4268	72	88
4268	72	8
4268	72	76
4268	72	104
4268	64	0
4268	64	80
4269	64	80
4269	80	16
4270	72	8
4270	64	0
4271	72	76
4271	68	100
4272	12	44
4272	72	88
4273	8	0
4274	64	68
4274	96	100
4274	64	0
4275	64	0
4275	64	0
4275	72	104
4275	72	64
4276	72	8
4277	64	68
4277	104	108
4277	72	104
4277	96	32
4277	64	0
4278	64	68
4278	72	104
4278	72	104
4278	64	68
4278	88	24
4278	64	0
4279	0	4
4279	72	76
4280	72	76
4280	64	0
4280	96	100
4280	72	64
4281	72	8
4281	72	8
4282	72	8
4282	72	88
4283	64	68
4283	64	0
4283	64	0
4283	64	0
4283	64	0
4284	64	0
4285	72	76
4285	0	4
4286	72	76
4287	72	64
4287	64	96
4287	64	0
4288	64	0
4288	72	8
4289	64	68
4289	64	0
4289	0	4
4289	72	8
4290	72	88
4290	72	8
4290	64	96
4291	64	0
4291	64	96
4292	72	76
4292	64	80
4292	64	96
4292	76	12
4293	72	8
4294	64	68
4294	64	68
4294	64	0
4295	76	108
4296	64	0
4296	64	96
4296	8	24
4296	96	32
4297	64	0
4297	68	84
4297	64	80
4298	72	8
4298	64	68
4298	72	104
4298	64	0
4298	64	80
4299	104	108
4299	64	80
4299	64	0
4300	72	76
4300	72	76
4300	64	68
4300	72	8
4300	64	68
4301	64	68
4301	64	0
4301	64	80
4302	76	12
4303	64	68
4303	72	76
4303	72	76
4303	64	0
4303	64	80
4305	72	88
4305	76	12
4306	88	24
4306	72	8
4306	72	104
4307	64	0
4307	64	0
4307	72	64
4307	64	0
4307	72	8
4309	0	16
4309	64	0
4309	64	80
4310	64	0
4310	72	64
4310	72	76
4310	80	16
4312	72	88
4312	64	68
4312	64	68
4312	64	0
4312	96	32
4313	72	104
4314	64	0
4314	64	0
4314	64	68
4314	72	8
4314	72	8
4315	72	76
4315	64	68
4315	64	0
4315	72	88
4316	64	68
4316	72	64
4316	64	68
4316	68	100
4317	0	4
4317	72	76
4318	72	8
4318	72	76
4318	72	8
4318	64	0
4318	64	0
4318	72	88
4318	76	92
4319	72	8
4319	68	4
4319	64	0
4320	72	88
4320	72	88
4320	0	16
4321	64	68
4322	64	68
4322	72	8
4322	64	0
4322	64	96
4322	72	8
4323	64	68
4323	80	16
4323	64	96
4323	0	16
4323	64	0
4324	64	0
4324	72	8
4325	64	0
4325	68	4
4325	64	0
4326	64	96
4326	64	96
4326	64	80
4327	8	0
4327	64	80
4328	64	80
4328	64	68
4328	64	80
4329	8	12
4329	72	88
4329	64	0
4329	64	0
4330	64	0
4330	64	0
4330	64	68
4330	68	100
4331	64	80
4331	64	0
4332	72	104
4332	64	96
4332	64	96
4332	68	4
4333	64	96
4333	72	104
4333	64	96
4333	64	0
4333	72	8
4334	68	4
4334	96	32
4335	0	4
